country,iso2c,year,indicator,value,unit
Belize,BZ,1960,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1961,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1962,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1963,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1964,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1965,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1966,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1967,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1968,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1969,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1970,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1971,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1972,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1973,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1974,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1975,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1976,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1977,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1978,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1979,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1980,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1981,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1982,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1983,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1984,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1985,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1986,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1987,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1988,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1989,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,1990,GC.XPN.TOTL.GD.ZS,12.5495750708215,%
Belize,BZ,1991,GC.XPN.TOTL.GD.ZS,12.6251884106515,%
Belize,BZ,1992,GC.XPN.TOTL.GD.ZS,13.5560502692998,%
Belize,BZ,1993,GC.XPN.TOTL.GD.ZS,14.6755661818423,%
Belize,BZ,1994,GC.XPN.TOTL.GD.ZS,15.870710863654,%
Belize,BZ,1995,GC.XPN.TOTL.GD.ZS,14.1188572126244,%
Belize,BZ,1996,GC.XPN.TOTL.GD.ZS,14.0993712170183,%
Belize,BZ,1997,GC.XPN.TOTL.GD.ZS,14.4689718342111,%
Belize,BZ,1998,GC.XPN.TOTL.GD.ZS,14.2494889725659,%
Belize,BZ,1999,GC.XPN.TOTL.GD.ZS,14.5589102724319,%
Belize,BZ,2000,GC.XPN.TOTL.GD.ZS,13.0551848274651,%
Belize,BZ,2001,GC.XPN.TOTL.GD.ZS,14.4133697135061,%
Belize,BZ,2002,GC.XPN.TOTL.GD.ZS,14.1499618366609,%
Belize,BZ,2003,GC.XPN.TOTL.GD.ZS,16.1980670792268,%
Belize,BZ,2004,GC.XPN.TOTL.GD.ZS,19.2024128207874,%
Belize,BZ,2005,GC.XPN.TOTL.GD.ZS,18.6014102172955,%
Belize,BZ,2006,GC.XPN.TOTL.GD.ZS,19.5061433554347,%
Belize,BZ,2007,GC.XPN.TOTL.GD.ZS,17.93336652803,%
Belize,BZ,2008,GC.XPN.TOTL.GD.ZS,18.2253436080281,%
Belize,BZ,2009,GC.XPN.TOTL.GD.ZS,19.811045306485,%
Belize,BZ,2010,GC.XPN.TOTL.GD.ZS,19.7578048920204,%
Belize,BZ,2011,GC.XPN.TOTL.GD.ZS,19.953011685504,%
Belize,BZ,2012,GC.XPN.TOTL.GD.ZS,18.3977172423274,%
Belize,BZ,2013,GC.XPN.TOTL.GD.ZS,18.8861415860288,%
Belize,BZ,2014,GC.XPN.TOTL.GD.ZS,19.4393247814802,%
Belize,BZ,2015,GC.XPN.TOTL.GD.ZS,20.6171829002987,%
Belize,BZ,2016,GC.XPN.TOTL.GD.ZS,21.2659008943398,%
Belize,BZ,2017,GC.XPN.TOTL.GD.ZS,22.3410892617923,%
Belize,BZ,2018,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,2019,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,2020,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,2021,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,2022,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,2023,GC.XPN.TOTL.GD.ZS,,%
Belize,BZ,2024,GC.XPN.TOTL.GD.ZS,,%
