country,iso2c,year,indicator,value,unit
Belize,BZ,1960,NY.GDP.PCAP.CD,307.414508338751,US$
Belize,BZ,1961,NY.GDP.PCAP.CD,320.029476728041,US$
Belize,BZ,1962,NY.GDP.PCAP.CD,331.704794335727,US$
Belize,BZ,1963,NY.GDP.PCAP.CD,341.932583787017,US$
Belize,BZ,1964,NY.GDP.PCAP.CD,356.235408350011,US$
Belize,BZ,1965,NY.GDP.PCAP.CD,383.186435252354,US$
Belize,BZ,1966,NY.GDP.PCAP.CD,411.933019943696,US$
Belize,BZ,1967,NY.GDP.PCAP.CD,426.264071353746,US$
Belize,BZ,1968,NY.GDP.PCAP.CD,392.282566057727,US$
Belize,BZ,1969,NY.GDP.PCAP.CD,401.557990513297,US$
Belize,BZ,1970,NY.GDP.PCAP.CD,441.7894689257,US$
Belize,BZ,1971,NY.GDP.PCAP.CD,481.04464147376,US$
Belize,BZ,1972,NY.GDP.PCAP.CD,529.356647508447,US$
Belize,BZ,1973,NY.GDP.PCAP.CD,618.567502314442,US$
Belize,BZ,1974,NY.GDP.PCAP.CD,804.777863602367,US$
Belize,BZ,1975,NY.GDP.PCAP.CD,906.486277401685,US$
Belize,BZ,1976,NY.GDP.PCAP.CD,729.488780751524,US$
Belize,BZ,1977,NY.GDP.PCAP.CD,865.792901454885,US$
Belize,BZ,1978,NY.GDP.PCAP.CD,982.604370174389,US$
Belize,BZ,1979,NY.GDP.PCAP.CD,1071.443696269,US$
Belize,BZ,1980,NY.GDP.PCAP.CD,1774.4136989701,US$
Belize,BZ,1981,NY.GDP.PCAP.CD,1752.51703789335,US$
Belize,BZ,1982,NY.GDP.PCAP.CD,1629.32322940976,US$
Belize,BZ,1983,NY.GDP.PCAP.CD,1677.25548155115,US$
Belize,BZ,1984,NY.GDP.PCAP.CD,1814.18859813551,US$
Belize,BZ,1985,NY.GDP.PCAP.CD,1754.01108696183,US$
Belize,BZ,1986,NY.GDP.PCAP.CD,1859.10214020555,US$
Belize,BZ,1987,NY.GDP.PCAP.CD,2165.89431416265,US$
Belize,BZ,1988,NY.GDP.PCAP.CD,2405.81116565818,US$
Belize,BZ,1989,NY.GDP.PCAP.CD,2741.93638439592,US$
Belize,BZ,1990,NY.GDP.PCAP.CD,2988.64952260263,US$
Belize,BZ,1991,NY.GDP.PCAP.CD,3192.36526946108,US$
Belize,BZ,1992,NY.GDP.PCAP.CD,3645.61243670903,US$
Belize,BZ,1993,NY.GDP.PCAP.CD,3862.7104904003,US$
Belize,BZ,1994,NY.GDP.PCAP.CD,3879.01374706801,US$
Belize,BZ,1995,NY.GDP.PCAP.CD,4012.07959009728,US$
Belize,BZ,1996,NY.GDP.PCAP.CD,4045.69445104845,US$
Belize,BZ,1997,NY.GDP.PCAP.CD,4016.62941603892,US$
Belize,BZ,1998,NY.GDP.PCAP.CD,4127.93718607471,US$
Belize,BZ,1999,NY.GDP.PCAP.CD,4291.83168210625,US$
Belize,BZ,2000,NY.GDP.PCAP.CD,4729.67080428075,US$
Belize,BZ,2001,NY.GDP.PCAP.CD,4721.81625660785,US$
Belize,BZ,2002,NY.GDP.PCAP.CD,4861.74314184267,US$
Belize,BZ,2003,NY.GDP.PCAP.CD,4962.08962013799,US$
Belize,BZ,2004,NY.GDP.PCAP.CD,5156.09817143194,US$
Belize,BZ,2005,NY.GDP.PCAP.CD,5272.74417207961,US$
Belize,BZ,2006,NY.GDP.PCAP.CD,5527.16775856439,US$
Belize,BZ,2007,NY.GDP.PCAP.CD,5765.28199932455,US$
Belize,BZ,2008,NY.GDP.PCAP.CD,5713.28126796797,US$
Belize,BZ,2009,NY.GDP.PCAP.CD,5401.22963143045,US$
Belize,BZ,2010,NY.GDP.PCAP.CD,5451.13897172477,US$
Belize,BZ,2011,NY.GDP.PCAP.CD,5582.22170621269,US$
Belize,BZ,2012,NY.GDP.PCAP.CD,5709.68918765363,US$
Belize,BZ,2013,NY.GDP.PCAP.CD,5950.20299917747,US$
Belize,BZ,2014,NY.GDP.PCAP.CD,6128.14288539305,US$
Belize,BZ,2015,NY.GDP.PCAP.CD,6154.49593498217,US$
Belize,BZ,2016,NY.GDP.PCAP.CD,6142.49873185177,US$
Belize,BZ,2017,NY.GDP.PCAP.CD,6072.58267640581,US$
Belize,BZ,2018,NY.GDP.PCAP.CD,6031.28139580144,US$
Belize,BZ,2019,NY.GDP.PCAP.CD,6190.04792278445,US$
Belize,BZ,2020,NY.GDP.PCAP.CD,5227.19363786168,US$
Belize,BZ,2021,NY.GDP.PCAP.CD,6122.61158580079,US$
Belize,BZ,2022,NY.GDP.PCAP.CD,7068.45478269722,US$
Belize,BZ,2023,NY.GDP.PCAP.CD,7459.99815132837,US$
Belize,BZ,2024,NY.GDP.PCAP.CD,8429.67959707387,US$
