country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SE.ADT.LITR.ZS,,%
Belize,BZ,1961,SE.ADT.LITR.ZS,,%
Belize,BZ,1962,SE.ADT.LITR.ZS,,%
Belize,BZ,1963,SE.ADT.LITR.ZS,,%
Belize,BZ,1964,SE.ADT.LITR.ZS,,%
Belize,BZ,1965,SE.ADT.LITR.ZS,,%
Belize,BZ,1966,SE.ADT.LITR.ZS,,%
Belize,BZ,1967,SE.ADT.LITR.ZS,,%
Belize,BZ,1968,SE.ADT.LITR.ZS,,%
Belize,BZ,1969,SE.ADT.LITR.ZS,,%
Belize,BZ,1970,SE.ADT.LITR.ZS,,%
Belize,BZ,1971,SE.ADT.LITR.ZS,,%
Belize,BZ,1972,SE.ADT.LITR.ZS,,%
Belize,BZ,1973,SE.ADT.LITR.ZS,,%
Belize,BZ,1974,SE.ADT.LITR.ZS,,%
Belize,BZ,1975,SE.ADT.LITR.ZS,,%
Belize,BZ,1976,SE.ADT.LITR.ZS,,%
Belize,BZ,1977,SE.ADT.LITR.ZS,,%
Belize,BZ,1978,SE.ADT.LITR.ZS,,%
Belize,BZ,1979,SE.ADT.LITR.ZS,,%
Belize,BZ,1980,SE.ADT.LITR.ZS,,%
Belize,BZ,1981,SE.ADT.LITR.ZS,,%
Belize,BZ,1982,SE.ADT.LITR.ZS,,%
Belize,BZ,1983,SE.ADT.LITR.ZS,,%
Belize,BZ,1984,SE.ADT.LITR.ZS,,%
Belize,BZ,1985,SE.ADT.LITR.ZS,,%
Belize,BZ,1986,SE.ADT.LITR.ZS,,%
Belize,BZ,1987,SE.ADT.LITR.ZS,,%
Belize,BZ,1988,SE.ADT.LITR.ZS,,%
Belize,BZ,1989,SE.ADT.LITR.ZS,,%
Belize,BZ,1990,SE.ADT.LITR.ZS,,%
Belize,BZ,1991,SE.ADT.LITR.ZS,70.0,%
Belize,BZ,1992,SE.ADT.LITR.ZS,,%
Belize,BZ,1993,SE.ADT.LITR.ZS,,%
Belize,BZ,1994,SE.ADT.LITR.ZS,,%
Belize,BZ,1995,SE.ADT.LITR.ZS,,%
Belize,BZ,1996,SE.ADT.LITR.ZS,,%
Belize,BZ,1997,SE.ADT.LITR.ZS,,%
Belize,BZ,1998,SE.ADT.LITR.ZS,,%
Belize,BZ,1999,SE.ADT.LITR.ZS,,%
Belize,BZ,2000,SE.ADT.LITR.ZS,,%
Belize,BZ,2001,SE.ADT.LITR.ZS,80.9000015258789,%
Belize,BZ,2002,SE.ADT.LITR.ZS,,%
Belize,BZ,2003,SE.ADT.LITR.ZS,,%
Belize,BZ,2004,SE.ADT.LITR.ZS,,%
Belize,BZ,2005,SE.ADT.LITR.ZS,,%
Belize,BZ,2006,SE.ADT.LITR.ZS,,%
Belize,BZ,2007,SE.ADT.LITR.ZS,,%
Belize,BZ,2008,SE.ADT.LITR.ZS,,%
Belize,BZ,2009,SE.ADT.LITR.ZS,,%
Belize,BZ,2010,SE.ADT.LITR.ZS,,%
Belize,BZ,2011,SE.ADT.LITR.ZS,,%
Belize,BZ,2012,SE.ADT.LITR.ZS,,%
Belize,BZ,2013,SE.ADT.LITR.ZS,,%
Belize,BZ,2014,SE.ADT.LITR.ZS,,%
Belize,BZ,2015,SE.ADT.LITR.ZS,90.9160385131836,%
Belize,BZ,2016,SE.ADT.LITR.ZS,,%
Belize,BZ,2017,SE.ADT.LITR.ZS,,%
Belize,BZ,2018,SE.ADT.LITR.ZS,,%
Belize,BZ,2019,SE.ADT.LITR.ZS,,%
Belize,BZ,2020,SE.ADT.LITR.ZS,,%
Belize,BZ,2021,SE.ADT.LITR.ZS,,%
Belize,BZ,2022,SE.ADT.LITR.ZS,,%
Belize,BZ,2023,SE.ADT.LITR.ZS,,%
Belize,BZ,2024,SE.ADT.LITR.ZS,,%
