country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SH.IMM.MEAS,,%
Belize,BZ,1961,SH.IMM.MEAS,,%
Belize,BZ,1962,SH.IMM.MEAS,,%
Belize,BZ,1963,SH.IMM.MEAS,,%
Belize,BZ,1964,SH.IMM.MEAS,,%
Belize,BZ,1965,SH.IMM.MEAS,,%
Belize,BZ,1966,SH.IMM.MEAS,,%
Belize,BZ,1967,SH.IMM.MEAS,,%
Belize,BZ,1968,SH.IMM.MEAS,,%
Belize,BZ,1969,SH.IMM.MEAS,,%
Belize,BZ,1970,SH.IMM.MEAS,,%
Belize,BZ,1971,SH.IMM.MEAS,,%
Belize,BZ,1972,SH.IMM.MEAS,,%
Belize,BZ,1973,SH.IMM.MEAS,,%
Belize,BZ,1974,SH.IMM.MEAS,,%
Belize,BZ,1975,SH.IMM.MEAS,,%
Belize,BZ,1976,SH.IMM.MEAS,,%
Belize,BZ,1977,SH.IMM.MEAS,,%
Belize,BZ,1978,SH.IMM.MEAS,,%
Belize,BZ,1979,SH.IMM.MEAS,,%
Belize,BZ,1980,SH.IMM.MEAS,21.0,%
Belize,BZ,1981,SH.IMM.MEAS,40.0,%
Belize,BZ,1982,SH.IMM.MEAS,51.0,%
Belize,BZ,1983,SH.IMM.MEAS,43.0,%
Belize,BZ,1984,SH.IMM.MEAS,43.0,%
Belize,BZ,1985,SH.IMM.MEAS,49.0,%
Belize,BZ,1986,SH.IMM.MEAS,85.0,%
Belize,BZ,1987,SH.IMM.MEAS,53.0,%
Belize,BZ,1988,SH.IMM.MEAS,59.0,%
Belize,BZ,1989,SH.IMM.MEAS,71.0,%
Belize,BZ,1990,SH.IMM.MEAS,86.0,%
Belize,BZ,1991,SH.IMM.MEAS,76.0,%
Belize,BZ,1992,SH.IMM.MEAS,69.0,%
Belize,BZ,1993,SH.IMM.MEAS,80.0,%
Belize,BZ,1994,SH.IMM.MEAS,82.0,%
Belize,BZ,1995,SH.IMM.MEAS,83.0,%
Belize,BZ,1996,SH.IMM.MEAS,81.0,%
Belize,BZ,1997,SH.IMM.MEAS,85.0,%
Belize,BZ,1998,SH.IMM.MEAS,84.0,%
Belize,BZ,1999,SH.IMM.MEAS,82.0,%
Belize,BZ,2000,SH.IMM.MEAS,96.0,%
Belize,BZ,2001,SH.IMM.MEAS,94.0,%
Belize,BZ,2002,SH.IMM.MEAS,88.0,%
Belize,BZ,2003,SH.IMM.MEAS,96.0,%
Belize,BZ,2004,SH.IMM.MEAS,97.0,%
Belize,BZ,2005,SH.IMM.MEAS,95.0,%
Belize,BZ,2006,SH.IMM.MEAS,99.0,%
Belize,BZ,2007,SH.IMM.MEAS,96.0,%
Belize,BZ,2008,SH.IMM.MEAS,96.0,%
Belize,BZ,2009,SH.IMM.MEAS,97.0,%
Belize,BZ,2010,SH.IMM.MEAS,98.0,%
Belize,BZ,2011,SH.IMM.MEAS,98.0,%
Belize,BZ,2012,SH.IMM.MEAS,96.0,%
Belize,BZ,2013,SH.IMM.MEAS,99.0,%
Belize,BZ,2014,SH.IMM.MEAS,95.0,%
Belize,BZ,2015,SH.IMM.MEAS,96.0,%
Belize,BZ,2016,SH.IMM.MEAS,95.0,%
Belize,BZ,2017,SH.IMM.MEAS,90.0,%
Belize,BZ,2018,SH.IMM.MEAS,97.0,%
Belize,BZ,2019,SH.IMM.MEAS,96.0,%
Belize,BZ,2020,SH.IMM.MEAS,82.0,%
Belize,BZ,2021,SH.IMM.MEAS,79.0,%
Belize,BZ,2022,SH.IMM.MEAS,81.0,%
Belize,BZ,2023,SH.IMM.MEAS,93.0,%
Belize,BZ,2024,SH.IMM.MEAS,,%
