country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1961,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1962,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1963,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1964,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1965,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1966,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1967,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1968,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1969,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1970,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1971,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1972,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1973,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1974,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1975,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1976,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1977,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1978,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1979,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1980,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1981,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1982,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1983,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1984,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1985,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1986,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1987,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1988,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1989,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1990,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1991,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1992,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1993,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1994,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1995,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1996,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1997,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1998,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,1999,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,2000,SH.XPD.CHEX.GD.ZS,3.09182477,%
Belize,BZ,2001,SH.XPD.CHEX.GD.ZS,3.58663416,%
Belize,BZ,2002,SH.XPD.CHEX.GD.ZS,3.69127417,%
Belize,BZ,2003,SH.XPD.CHEX.GD.ZS,3.64453149,%
Belize,BZ,2004,SH.XPD.CHEX.GD.ZS,3.53016114,%
Belize,BZ,2005,SH.XPD.CHEX.GD.ZS,3.55393219,%
Belize,BZ,2006,SH.XPD.CHEX.GD.ZS,3.56430817,%
Belize,BZ,2007,SH.XPD.CHEX.GD.ZS,4.07201815,%
Belize,BZ,2008,SH.XPD.CHEX.GD.ZS,4.5307498,%
Belize,BZ,2009,SH.XPD.CHEX.GD.ZS,4.52340269,%
Belize,BZ,2010,SH.XPD.CHEX.GD.ZS,4.49390221,%
Belize,BZ,2011,SH.XPD.CHEX.GD.ZS,4.54752827,%
Belize,BZ,2012,SH.XPD.CHEX.GD.ZS,4.36309099,%
Belize,BZ,2013,SH.XPD.CHEX.GD.ZS,4.44159889,%
Belize,BZ,2014,SH.XPD.CHEX.GD.ZS,4.89683533,%
Belize,BZ,2015,SH.XPD.CHEX.GD.ZS,4.66880131,%
Belize,BZ,2016,SH.XPD.CHEX.GD.ZS,4.78280401,%
Belize,BZ,2017,SH.XPD.CHEX.GD.ZS,4.63350248,%
Belize,BZ,2018,SH.XPD.CHEX.GD.ZS,4.76723623,%
Belize,BZ,2019,SH.XPD.CHEX.GD.ZS,4.84424496,%
Belize,BZ,2020,SH.XPD.CHEX.GD.ZS,5.35447645,%
Belize,BZ,2021,SH.XPD.CHEX.GD.ZS,5.05842113,%
Belize,BZ,2022,SH.XPD.CHEX.GD.ZS,4.23173904,%
Belize,BZ,2023,SH.XPD.CHEX.GD.ZS,,%
Belize,BZ,2024,SH.XPD.CHEX.GD.ZS,,%
