country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1961,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1962,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1963,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1964,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1965,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1966,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1967,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1968,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1969,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1970,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1971,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1972,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1973,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1974,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1975,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1976,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1977,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1978,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1979,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1980,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1981,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1982,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1983,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1984,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1985,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1986,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1987,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1988,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1989,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1990,SL.EMP.TOTL.SP.ZS,,%
Belize,BZ,1991,SL.EMP.TOTL.SP.ZS,50.231,%
Belize,BZ,1992,SL.EMP.TOTL.SP.ZS,50.572,%
Belize,BZ,1993,SL.EMP.TOTL.SP.ZS,50.662,%
Belize,BZ,1994,SL.EMP.TOTL.SP.ZS,49.846,%
Belize,BZ,1995,SL.EMP.TOTL.SP.ZS,49.903,%
Belize,BZ,1996,SL.EMP.TOTL.SP.ZS,49.952,%
Belize,BZ,1997,SL.EMP.TOTL.SP.ZS,51.431,%
Belize,BZ,1998,SL.EMP.TOTL.SP.ZS,50.3,%
Belize,BZ,1999,SL.EMP.TOTL.SP.ZS,51.686,%
Belize,BZ,2000,SL.EMP.TOTL.SP.ZS,53.089,%
Belize,BZ,2001,SL.EMP.TOTL.SP.ZS,54.36,%
Belize,BZ,2002,SL.EMP.TOTL.SP.ZS,53.996,%
Belize,BZ,2003,SL.EMP.TOTL.SP.ZS,54.029,%
Belize,BZ,2004,SL.EMP.TOTL.SP.ZS,54.098,%
Belize,BZ,2005,SL.EMP.TOTL.SP.ZS,54.113,%
Belize,BZ,2006,SL.EMP.TOTL.SP.ZS,55.252,%
Belize,BZ,2007,SL.EMP.TOTL.SP.ZS,56.007,%
Belize,BZ,2008,SL.EMP.TOTL.SP.ZS,56.426,%
Belize,BZ,2009,SL.EMP.TOTL.SP.ZS,56.552,%
Belize,BZ,2010,SL.EMP.TOTL.SP.ZS,56.715,%
Belize,BZ,2011,SL.EMP.TOTL.SP.ZS,56.921,%
Belize,BZ,2012,SL.EMP.TOTL.SP.ZS,57.168,%
Belize,BZ,2013,SL.EMP.TOTL.SP.ZS,57.402,%
Belize,BZ,2014,SL.EMP.TOTL.SP.ZS,58.258,%
Belize,BZ,2015,SL.EMP.TOTL.SP.ZS,59.032,%
Belize,BZ,2016,SL.EMP.TOTL.SP.ZS,59.752,%
Belize,BZ,2017,SL.EMP.TOTL.SP.ZS,59.81,%
Belize,BZ,2018,SL.EMP.TOTL.SP.ZS,61.657,%
Belize,BZ,2019,SL.EMP.TOTL.SP.ZS,63.414,%
Belize,BZ,2020,SL.EMP.TOTL.SP.ZS,57.499,%
Belize,BZ,2021,SL.EMP.TOTL.SP.ZS,55.44,%
Belize,BZ,2022,SL.EMP.TOTL.SP.ZS,56.544,%
Belize,BZ,2023,SL.EMP.TOTL.SP.ZS,56.971,%
Belize,BZ,2024,SL.EMP.TOTL.SP.ZS,57.691,%
