country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SL.TLF.TOTL.IN,,people
Belize,BZ,1961,SL.TLF.TOTL.IN,,people
Belize,BZ,1962,SL.TLF.TOTL.IN,,people
Belize,BZ,1963,SL.TLF.TOTL.IN,,people
Belize,BZ,1964,SL.TLF.TOTL.IN,,people
Belize,BZ,1965,SL.TLF.TOTL.IN,,people
Belize,BZ,1966,SL.TLF.TOTL.IN,,people
Belize,BZ,1967,SL.TLF.TOTL.IN,,people
Belize,BZ,1968,SL.TLF.TOTL.IN,,people
Belize,BZ,1969,SL.TLF.TOTL.IN,,people
Belize,BZ,1970,SL.TLF.TOTL.IN,,people
Belize,BZ,1971,SL.TLF.TOTL.IN,,people
Belize,BZ,1972,SL.TLF.TOTL.IN,,people
Belize,BZ,1973,SL.TLF.TOTL.IN,,people
Belize,BZ,1974,SL.TLF.TOTL.IN,,people
Belize,BZ,1975,SL.TLF.TOTL.IN,,people
Belize,BZ,1976,SL.TLF.TOTL.IN,,people
Belize,BZ,1977,SL.TLF.TOTL.IN,,people
Belize,BZ,1978,SL.TLF.TOTL.IN,,people
Belize,BZ,1979,SL.TLF.TOTL.IN,,people
Belize,BZ,1980,SL.TLF.TOTL.IN,,people
Belize,BZ,1981,SL.TLF.TOTL.IN,,people
Belize,BZ,1982,SL.TLF.TOTL.IN,,people
Belize,BZ,1983,SL.TLF.TOTL.IN,,people
Belize,BZ,1984,SL.TLF.TOTL.IN,,people
Belize,BZ,1985,SL.TLF.TOTL.IN,,people
Belize,BZ,1986,SL.TLF.TOTL.IN,,people
Belize,BZ,1987,SL.TLF.TOTL.IN,,people
Belize,BZ,1988,SL.TLF.TOTL.IN,,people
Belize,BZ,1989,SL.TLF.TOTL.IN,,people
Belize,BZ,1990,SL.TLF.TOTL.IN,56315.0,people
Belize,BZ,1991,SL.TLF.TOTL.IN,58164.0,people
Belize,BZ,1992,SL.TLF.TOTL.IN,60096.0,people
Belize,BZ,1993,SL.TLF.TOTL.IN,61805.0,people
Belize,BZ,1994,SL.TLF.TOTL.IN,63461.0,people
Belize,BZ,1995,SL.TLF.TOTL.IN,66725.0,people
Belize,BZ,1996,SL.TLF.TOTL.IN,70561.0,people
Belize,BZ,1997,SL.TLF.TOTL.IN,74916.0,people
Belize,BZ,1998,SL.TLF.TOTL.IN,78094.0,people
Belize,BZ,1999,SL.TLF.TOTL.IN,82388.0,people
Belize,BZ,2000,SL.TLF.TOTL.IN,86164.0,people
Belize,BZ,2001,SL.TLF.TOTL.IN,89869.0,people
Belize,BZ,2002,SL.TLF.TOTL.IN,93582.0,people
Belize,BZ,2003,SL.TLF.TOTL.IN,97414.0,people
Belize,BZ,2004,SL.TLF.TOTL.IN,101380.0,people
Belize,BZ,2005,SL.TLF.TOTL.IN,105467.0,people
Belize,BZ,2006,SL.TLF.TOTL.IN,109679.0,people
Belize,BZ,2007,SL.TLF.TOTL.IN,114014.0,people
Belize,BZ,2008,SL.TLF.TOTL.IN,118461.0,people
Belize,BZ,2009,SL.TLF.TOTL.IN,123041.0,people
Belize,BZ,2010,SL.TLF.TOTL.IN,127831.0,people
Belize,BZ,2011,SL.TLF.TOTL.IN,132777.0,people
Belize,BZ,2012,SL.TLF.TOTL.IN,137753.0,people
Belize,BZ,2013,SL.TLF.TOTL.IN,142809.0,people
Belize,BZ,2014,SL.TLF.TOTL.IN,149447.0,people
Belize,BZ,2015,SL.TLF.TOTL.IN,155137.0,people
Belize,BZ,2016,SL.TLF.TOTL.IN,161445.0,people
Belize,BZ,2017,SL.TLF.TOTL.IN,166282.0,people
Belize,BZ,2018,SL.TLF.TOTL.IN,178447.0,people
Belize,BZ,2019,SL.TLF.TOTL.IN,189886.0,people
Belize,BZ,2020,SL.TLF.TOTL.IN,179096.0,people
Belize,BZ,2021,SL.TLF.TOTL.IN,175200.0,people
Belize,BZ,2022,SL.TLF.TOTL.IN,180679.0,people
Belize,BZ,2023,SL.TLF.TOTL.IN,186401.0,people
Belize,BZ,2024,SL.TLF.TOTL.IN,189961.0,people
