country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SP.ADO.TFRT,145.636,per 1k
Belize,BZ,1961,SP.ADO.TFRT,144.415,per 1k
Belize,BZ,1962,SP.ADO.TFRT,143.161,per 1k
Belize,BZ,1963,SP.ADO.TFRT,141.934,per 1k
Belize,BZ,1964,SP.ADO.TFRT,140.964,per 1k
Belize,BZ,1965,SP.ADO.TFRT,140.273,per 1k
Belize,BZ,1966,SP.ADO.TFRT,139.768,per 1k
Belize,BZ,1967,SP.ADO.TFRT,139.494,per 1k
Belize,BZ,1968,SP.ADO.TFRT,139.502,per 1k
Belize,BZ,1969,SP.ADO.TFRT,139.716,per 1k
Belize,BZ,1970,SP.ADO.TFRT,140.236,per 1k
Belize,BZ,1971,SP.ADO.TFRT,140.798,per 1k
Belize,BZ,1972,SP.ADO.TFRT,141.042,per 1k
Belize,BZ,1973,SP.ADO.TFRT,141.29,per 1k
Belize,BZ,1974,SP.ADO.TFRT,141.813,per 1k
Belize,BZ,1975,SP.ADO.TFRT,142.49,per 1k
Belize,BZ,1976,SP.ADO.TFRT,142.655,per 1k
Belize,BZ,1977,SP.ADO.TFRT,141.845,per 1k
Belize,BZ,1978,SP.ADO.TFRT,140.908,per 1k
Belize,BZ,1979,SP.ADO.TFRT,140.407,per 1k
Belize,BZ,1980,SP.ADO.TFRT,140.472,per 1k
Belize,BZ,1981,SP.ADO.TFRT,140.514,per 1k
Belize,BZ,1982,SP.ADO.TFRT,140.051,per 1k
Belize,BZ,1983,SP.ADO.TFRT,139.382,per 1k
Belize,BZ,1984,SP.ADO.TFRT,138.35,per 1k
Belize,BZ,1985,SP.ADO.TFRT,137.598,per 1k
Belize,BZ,1986,SP.ADO.TFRT,135.956,per 1k
Belize,BZ,1987,SP.ADO.TFRT,133.357,per 1k
Belize,BZ,1988,SP.ADO.TFRT,131.795,per 1k
Belize,BZ,1989,SP.ADO.TFRT,129.998,per 1k
Belize,BZ,1990,SP.ADO.TFRT,127.885,per 1k
Belize,BZ,1991,SP.ADO.TFRT,122.581,per 1k
Belize,BZ,1992,SP.ADO.TFRT,115.549,per 1k
Belize,BZ,1993,SP.ADO.TFRT,111.718,per 1k
Belize,BZ,1994,SP.ADO.TFRT,107.557,per 1k
Belize,BZ,1995,SP.ADO.TFRT,106.912,per 1k
Belize,BZ,1996,SP.ADO.TFRT,102.401,per 1k
Belize,BZ,1997,SP.ADO.TFRT,98.872,per 1k
Belize,BZ,1998,SP.ADO.TFRT,102.531,per 1k
Belize,BZ,1999,SP.ADO.TFRT,102.19,per 1k
Belize,BZ,2000,SP.ADO.TFRT,100.214,per 1k
Belize,BZ,2001,SP.ADO.TFRT,97.927,per 1k
Belize,BZ,2002,SP.ADO.TFRT,93.953,per 1k
Belize,BZ,2003,SP.ADO.TFRT,89.258,per 1k
Belize,BZ,2004,SP.ADO.TFRT,87.354,per 1k
Belize,BZ,2005,SP.ADO.TFRT,87.146,per 1k
Belize,BZ,2006,SP.ADO.TFRT,81.731,per 1k
Belize,BZ,2007,SP.ADO.TFRT,78.164,per 1k
Belize,BZ,2008,SP.ADO.TFRT,75.791,per 1k
Belize,BZ,2009,SP.ADO.TFRT,73.136,per 1k
Belize,BZ,2010,SP.ADO.TFRT,70.746,per 1k
Belize,BZ,2011,SP.ADO.TFRT,72.665,per 1k
Belize,BZ,2012,SP.ADO.TFRT,72.448,per 1k
Belize,BZ,2013,SP.ADO.TFRT,72.417,per 1k
Belize,BZ,2014,SP.ADO.TFRT,71.121,per 1k
Belize,BZ,2015,SP.ADO.TFRT,70.22,per 1k
Belize,BZ,2016,SP.ADO.TFRT,70.672,per 1k
Belize,BZ,2017,SP.ADO.TFRT,70.413,per 1k
Belize,BZ,2018,SP.ADO.TFRT,72.19,per 1k
Belize,BZ,2019,SP.ADO.TFRT,65.575,per 1k
Belize,BZ,2020,SP.ADO.TFRT,58.522,per 1k
Belize,BZ,2021,SP.ADO.TFRT,51.324,per 1k
Belize,BZ,2022,SP.ADO.TFRT,53.404,per 1k
Belize,BZ,2023,SP.ADO.TFRT,55.232,per 1k
Belize,BZ,2024,SP.ADO.TFRT,,per 1k
