country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SP.DYN.TFRT.IN,6.5,
Belize,BZ,1961,SP.DYN.TFRT.IN,6.48,
Belize,BZ,1962,SP.DYN.TFRT.IN,6.46,
Belize,BZ,1963,SP.DYN.TFRT.IN,6.44,
Belize,BZ,1964,SP.DYN.TFRT.IN,6.42,
Belize,BZ,1965,SP.DYN.TFRT.IN,6.4,
Belize,BZ,1966,SP.DYN.TFRT.IN,6.379,
Belize,BZ,1967,SP.DYN.TFRT.IN,6.358,
Belize,BZ,1968,SP.DYN.TFRT.IN,6.337,
Belize,BZ,1969,SP.DYN.TFRT.IN,6.316,
Belize,BZ,1970,SP.DYN.TFRT.IN,6.299,
Belize,BZ,1971,SP.DYN.TFRT.IN,6.288,
Belize,BZ,1972,SP.DYN.TFRT.IN,6.284,
Belize,BZ,1973,SP.DYN.TFRT.IN,6.285,
Belize,BZ,1974,SP.DYN.TFRT.IN,6.287,
Belize,BZ,1975,SP.DYN.TFRT.IN,6.278,
Belize,BZ,1976,SP.DYN.TFRT.IN,6.25,
Belize,BZ,1977,SP.DYN.TFRT.IN,6.195,
Belize,BZ,1978,SP.DYN.TFRT.IN,6.109,
Belize,BZ,1979,SP.DYN.TFRT.IN,5.992,
Belize,BZ,1980,SP.DYN.TFRT.IN,5.849,
Belize,BZ,1981,SP.DYN.TFRT.IN,5.684,
Belize,BZ,1982,SP.DYN.TFRT.IN,5.497,
Belize,BZ,1983,SP.DYN.TFRT.IN,5.309,
Belize,BZ,1984,SP.DYN.TFRT.IN,5.115,
Belize,BZ,1985,SP.DYN.TFRT.IN,4.997,
Belize,BZ,1986,SP.DYN.TFRT.IN,4.937,
Belize,BZ,1987,SP.DYN.TFRT.IN,4.883,
Belize,BZ,1988,SP.DYN.TFRT.IN,4.868,
Belize,BZ,1989,SP.DYN.TFRT.IN,4.864,
Belize,BZ,1990,SP.DYN.TFRT.IN,4.802,
Belize,BZ,1991,SP.DYN.TFRT.IN,4.595,
Belize,BZ,1992,SP.DYN.TFRT.IN,4.429,
Belize,BZ,1993,SP.DYN.TFRT.IN,4.206,
Belize,BZ,1994,SP.DYN.TFRT.IN,3.973,
Belize,BZ,1995,SP.DYN.TFRT.IN,3.876,
Belize,BZ,1996,SP.DYN.TFRT.IN,3.755,
Belize,BZ,1997,SP.DYN.TFRT.IN,3.737,
Belize,BZ,1998,SP.DYN.TFRT.IN,3.752,
Belize,BZ,1999,SP.DYN.TFRT.IN,3.726,
Belize,BZ,2000,SP.DYN.TFRT.IN,3.633,
Belize,BZ,2001,SP.DYN.TFRT.IN,3.526,
Belize,BZ,2002,SP.DYN.TFRT.IN,3.43,
Belize,BZ,2003,SP.DYN.TFRT.IN,3.335,
Belize,BZ,2004,SP.DYN.TFRT.IN,3.252,
Belize,BZ,2005,SP.DYN.TFRT.IN,3.173,
Belize,BZ,2006,SP.DYN.TFRT.IN,3.021,
Belize,BZ,2007,SP.DYN.TFRT.IN,2.885,
Belize,BZ,2008,SP.DYN.TFRT.IN,2.78,
Belize,BZ,2009,SP.DYN.TFRT.IN,2.659,
Belize,BZ,2010,SP.DYN.TFRT.IN,2.552,
Belize,BZ,2011,SP.DYN.TFRT.IN,2.531,
Belize,BZ,2012,SP.DYN.TFRT.IN,2.51,
Belize,BZ,2013,SP.DYN.TFRT.IN,2.498,
Belize,BZ,2014,SP.DYN.TFRT.IN,2.474,
Belize,BZ,2015,SP.DYN.TFRT.IN,2.433,
Belize,BZ,2016,SP.DYN.TFRT.IN,2.396,
Belize,BZ,2017,SP.DYN.TFRT.IN,2.368,
Belize,BZ,2018,SP.DYN.TFRT.IN,2.343,
Belize,BZ,2019,SP.DYN.TFRT.IN,2.142,
Belize,BZ,2020,SP.DYN.TFRT.IN,2.04,
Belize,BZ,2021,SP.DYN.TFRT.IN,1.837,
Belize,BZ,2022,SP.DYN.TFRT.IN,1.949,
Belize,BZ,2023,SP.DYN.TFRT.IN,2.007,
Belize,BZ,2024,SP.DYN.TFRT.IN,,
