country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SP.POP.TOTL,91318,people
Belize,BZ,1961,SP.POP.TOTL,93632,people
Belize,BZ,1962,SP.POP.TOTL,96042,people
Belize,BZ,1963,SP.POP.TOTL,98704,people
Belize,BZ,1964,SP.POP.TOTL,101603,people
Belize,BZ,1965,SP.POP.TOTL,104675,people
Belize,BZ,1966,SP.POP.TOTL,107906,people
Belize,BZ,1967,SP.POP.TOTL,111272,people
Belize,BZ,1968,SP.POP.TOTL,114713,people
Belize,BZ,1969,SP.POP.TOTL,118040,people
Belize,BZ,1970,SP.POP.TOTL,120736,people
Belize,BZ,1971,SP.POP.TOTL,122805,people
Belize,BZ,1972,SP.POP.TOTL,124676,people
Belize,BZ,1973,SP.POP.TOTL,126445,people
Belize,BZ,1974,SP.POP.TOTL,128185,people
Belize,BZ,1975,SP.POP.TOTL,130387,people
Belize,BZ,1976,SP.POP.TOTL,133099,people
Belize,BZ,1977,SP.POP.TOTL,135887,people
Belize,BZ,1978,SP.POP.TOTL,138713,people
Belize,BZ,1979,SP.POP.TOTL,141678,people
Belize,BZ,1980,SP.POP.TOTL,145062,people
Belize,BZ,1981,SP.POP.TOTL,148786,people
Belize,BZ,1982,SP.POP.TOTL,152548,people
Belize,BZ,1983,SP.POP.TOTL,156297,people
Belize,BZ,1984,SP.POP.TOTL,160044,people
Belize,BZ,1985,SP.POP.TOTL,163796,people
Belize,BZ,1986,SP.POP.TOTL,167554,people
Belize,BZ,1987,SP.POP.TOTL,171338,people
Belize,BZ,1988,SP.POP.TOTL,175180,people
Belize,BZ,1989,SP.POP.TOTL,179107,people
Belize,BZ,1990,SP.POP.TOTL,183076,people
Belize,BZ,1991,SP.POP.TOTL,187040,people
Belize,BZ,1992,SP.POP.TOTL,190983,people
Belize,BZ,1993,SP.POP.TOTL,194902,people
Belize,BZ,1994,SP.POP.TOTL,199097,people
Belize,BZ,1995,SP.POP.TOTL,204146,people
Belize,BZ,1996,SP.POP.TOTL,210310,people
Belize,BZ,1997,SP.POP.TOTL,217446,people
Belize,BZ,1998,SP.POP.TOTL,225173,people
Belize,BZ,1999,SP.POP.TOTL,233059,people
Belize,BZ,2000,SP.POP.TOTL,240799,people
Belize,BZ,2001,SP.POP.TOTL,248379,people
Belize,BZ,2002,SP.POP.TOTL,256009,people
Belize,BZ,2003,SP.POP.TOTL,263780,people
Belize,BZ,2004,SP.POP.TOTL,271688,people
Belize,BZ,2005,SP.POP.TOTL,279731,people
Belize,BZ,2006,SP.POP.TOTL,287878,people
Belize,BZ,2007,SP.POP.TOTL,296100,people
Belize,BZ,2008,SP.POP.TOTL,304361,people
Belize,BZ,2009,SP.POP.TOTL,312614,people
Belize,BZ,2010,SP.POP.TOTL,320245,people
Belize,BZ,2011,SP.POP.TOTL,327298,people
Belize,BZ,2012,SP.POP.TOTL,334414,people
Belize,BZ,2013,SP.POP.TOTL,341627,people
Belize,BZ,2014,SP.POP.TOTL,348923,people
Belize,BZ,2015,SP.POP.TOTL,356333,people
Belize,BZ,2016,SP.POP.TOTL,364705,people
Belize,BZ,2017,SP.POP.TOTL,373202,people
Belize,BZ,2018,SP.POP.TOTL,380226,people
Belize,BZ,2019,SP.POP.TOTL,385829,people
Belize,BZ,2020,SP.POP.TOTL,390812,people
Belize,BZ,2021,SP.POP.TOTL,395346,people
Belize,BZ,2022,SP.POP.TOTL,402733,people
Belize,BZ,2023,SP.POP.TOTL,411106,people
Belize,BZ,2024,SP.POP.TOTL,417072,people
