area_code,area,item_code,item,element,year,unit,value,_source,_domain
'328,Guyana,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2010,kcal/cap/d,27.49,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2011,kcal/cap/d,39.16,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2012,kcal/cap/d,33.55,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2013,kcal/cap/d,37.42,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2014,kcal/cap/d,49.35,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2015,kcal/cap/d,43.98,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2016,kcal/cap/d,35.88,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2017,kcal/cap/d,34.72,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2018,kcal/cap/d,46.75,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2019,kcal/cap/d,46.91,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2020,kcal/cap/d,40.5,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2021,kcal/cap/d,55.81,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2022,kcal/cap/d,59.96,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2010,kg/cap,22.76,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2011,kg/cap,32.38,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2012,kg/cap,27.78,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2013,kg/cap,31.05,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2014,kg/cap,40.69,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2015,kg/cap,36.25,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2016,kg/cap,29.72,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2017,kg/cap,28.76,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2018,kg/cap,38.7,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2019,kg/cap,38.8,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2020,kg/cap,33.43,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2021,kg/cap,45.34,bulk,FBS_BULK
'328,Guyana,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2022,kg/cap,47.19,bulk,FBS_BULK
'328,Guyana,2941,Animal Products,Food supply (kcal/capita/day),2010,kcal/cap/d,383.83,bulk,FBS_BULK
'328,Guyana,2941,Animal Products,Food supply (kcal/capita/day),2011,kcal/cap/d,449.87,bulk,FBS_BULK
'328,Guyana,2941,Animal Products,Food supply (kcal/capita/day),2012,kcal/cap/d,500.99,bulk,FBS_BULK
'328,Guyana,2941,Animal Products,Food supply (kcal/capita/day),2013,kcal/cap/d,483.15,bulk,FBS_BULK
'328,Guyana,2941,Animal Products,Food supply (kcal/capita/day),2014,kcal/cap/d,497.65,bulk,FBS_BULK
'328,Guyana,2941,Animal Products,Food supply (kcal/capita/day),2015,kcal/cap/d,542.69,bulk,FBS_BULK
'328,Guyana,2941,Animal Products,Food supply (kcal/capita/day),2016,kcal/cap/d,495.38,bulk,FBS_BULK
'328,Guyana,2941,Animal Products,Food supply (kcal/capita/day),2017,kcal/cap/d,503.73,bulk,FBS_BULK
'328,Guyana,2941,Animal Products,Food supply (kcal/capita/day),2018,kcal/cap/d,551.83,bulk,FBS_BULK
'328,Guyana,2941,Animal Products,Food supply (kcal/capita/day),2019,kcal/cap/d,521.8,bulk,FBS_BULK
