country,iso2c,year,indicator,value,unit
Belize,BZ,1960,EG.ELC.ACCS.ZS,,%
Belize,BZ,1961,EG.ELC.ACCS.ZS,,%
Belize,BZ,1962,EG.ELC.ACCS.ZS,,%
Belize,BZ,1963,EG.ELC.ACCS.ZS,,%
Belize,BZ,1964,EG.ELC.ACCS.ZS,,%
Belize,BZ,1965,EG.ELC.ACCS.ZS,,%
Belize,BZ,1966,EG.ELC.ACCS.ZS,,%
Belize,BZ,1967,EG.ELC.ACCS.ZS,,%
Belize,BZ,1968,EG.ELC.ACCS.ZS,,%
Belize,BZ,1969,EG.ELC.ACCS.ZS,,%
Belize,BZ,1970,EG.ELC.ACCS.ZS,,%
Belize,BZ,1971,EG.ELC.ACCS.ZS,,%
Belize,BZ,1972,EG.ELC.ACCS.ZS,,%
Belize,BZ,1973,EG.ELC.ACCS.ZS,,%
Belize,BZ,1974,EG.ELC.ACCS.ZS,,%
Belize,BZ,1975,EG.ELC.ACCS.ZS,,%
Belize,BZ,1976,EG.ELC.ACCS.ZS,,%
Belize,BZ,1977,EG.ELC.ACCS.ZS,,%
Belize,BZ,1978,EG.ELC.ACCS.ZS,,%
Belize,BZ,1979,EG.ELC.ACCS.ZS,,%
Belize,BZ,1980,EG.ELC.ACCS.ZS,,%
Belize,BZ,1981,EG.ELC.ACCS.ZS,,%
Belize,BZ,1982,EG.ELC.ACCS.ZS,,%
Belize,BZ,1983,EG.ELC.ACCS.ZS,,%
Belize,BZ,1984,EG.ELC.ACCS.ZS,,%
Belize,BZ,1985,EG.ELC.ACCS.ZS,,%
Belize,BZ,1986,EG.ELC.ACCS.ZS,,%
Belize,BZ,1987,EG.ELC.ACCS.ZS,,%
Belize,BZ,1988,EG.ELC.ACCS.ZS,,%
Belize,BZ,1989,EG.ELC.ACCS.ZS,,%
Belize,BZ,1990,EG.ELC.ACCS.ZS,,%
Belize,BZ,1991,EG.ELC.ACCS.ZS,67.0,%
Belize,BZ,1992,EG.ELC.ACCS.ZS,72.2249145507813,%
Belize,BZ,1993,EG.ELC.ACCS.ZS,73.1233291625977,%
Belize,BZ,1994,EG.ELC.ACCS.ZS,74.0203857421875,%
Belize,BZ,1995,EG.ELC.ACCS.ZS,74.915397644043,%
Belize,BZ,1996,EG.ELC.ACCS.ZS,75.8076934814453,%
Belize,BZ,1997,EG.ELC.ACCS.ZS,76.6965866088867,%
Belize,BZ,1998,EG.ELC.ACCS.ZS,77.5814056396484,%
Belize,BZ,1999,EG.ELC.ACCS.ZS,78.4613800048828,%
Belize,BZ,2000,EG.ELC.ACCS.ZS,79.0,%
Belize,BZ,2001,EG.ELC.ACCS.ZS,80.2,%
Belize,BZ,2002,EG.ELC.ACCS.ZS,81.0,%
Belize,BZ,2003,EG.ELC.ACCS.ZS,81.8,%
Belize,BZ,2004,EG.ELC.ACCS.ZS,82.6,%
Belize,BZ,2005,EG.ELC.ACCS.ZS,83.5,%
Belize,BZ,2006,EG.ELC.ACCS.ZS,91.0,%
Belize,BZ,2007,EG.ELC.ACCS.ZS,85.2,%
Belize,BZ,2008,EG.ELC.ACCS.ZS,86.1,%
Belize,BZ,2009,EG.ELC.ACCS.ZS,86.9,%
Belize,BZ,2010,EG.ELC.ACCS.ZS,89.9,%
Belize,BZ,2011,EG.ELC.ACCS.ZS,91.7,%
Belize,BZ,2012,EG.ELC.ACCS.ZS,90.9,%
Belize,BZ,2013,EG.ELC.ACCS.ZS,91.1,%
Belize,BZ,2014,EG.ELC.ACCS.ZS,91.5,%
Belize,BZ,2015,EG.ELC.ACCS.ZS,91.8,%
Belize,BZ,2016,EG.ELC.ACCS.ZS,93.3,%
Belize,BZ,2017,EG.ELC.ACCS.ZS,94.2,%
Belize,BZ,2018,EG.ELC.ACCS.ZS,91.7,%
Belize,BZ,2019,EG.ELC.ACCS.ZS,92.7,%
Belize,BZ,2020,EG.ELC.ACCS.ZS,96.8,%
Belize,BZ,2021,EG.ELC.ACCS.ZS,97.7,%
Belize,BZ,2022,EG.ELC.ACCS.ZS,98.6,%
Belize,BZ,2023,EG.ELC.ACCS.ZS,99.6,%
Belize,BZ,2024,EG.ELC.ACCS.ZS,,%
