country,iso2c,year,indicator,value,unit
Belize,BZ,1960,NY.GDP.MKTP.CD,28072478.0724781,US$
Belize,BZ,1961,NY.GDP.MKTP.CD,29964999.965,US$
Belize,BZ,1962,NY.GDP.MKTP.CD,31857591.8575919,US$
Belize,BZ,1963,NY.GDP.MKTP.CD,33750113.7501138,US$
Belize,BZ,1964,NY.GDP.MKTP.CD,36194586.1945862,US$
Belize,BZ,1965,NY.GDP.MKTP.CD,40110040.1100401,US$
Belize,BZ,1966,NY.GDP.MKTP.CD,44450044.4500445,US$
Belize,BZ,1967,NY.GDP.MKTP.CD,47431255.747674,US$
Belize,BZ,1968,NY.GDP.MKTP.CD,44999910.00018,US$
Belize,BZ,1969,NY.GDP.MKTP.CD,47399905.2001896,US$
Belize,BZ,1970,NY.GDP.MKTP.CD,53339893.3202134,US$
Belize,BZ,1971,NY.GDP.MKTP.CD,59074687.1961851,US$
Belize,BZ,1972,NY.GDP.MKTP.CD,65998069.3847631,US$
Belize,BZ,1973,NY.GDP.MKTP.CD,78214767.8301496,US$
Belize,BZ,1974,NY.GDP.MKTP.CD,103160450.445869,US$
Belize,BZ,1975,NY.GDP.MKTP.CD,118194026.251574,US$
Belize,BZ,1976,NY.GDP.MKTP.CD,97094227.2292471,US$
Belize,BZ,1977,NY.GDP.MKTP.CD,117650000.0,US$
Belize,BZ,1978,NY.GDP.MKTP.CD,136300000.0,US$
Belize,BZ,1979,NY.GDP.MKTP.CD,151800000.0,US$
Belize,BZ,1980,NY.GDP.MKTP.CD,257400000.0,US$
Belize,BZ,1981,NY.GDP.MKTP.CD,260750000.0,US$
Belize,BZ,1982,NY.GDP.MKTP.CD,248550000.0,US$
Belize,BZ,1983,NY.GDP.MKTP.CD,262150000.0,US$
Belize,BZ,1984,NY.GDP.MKTP.CD,290350000.0,US$
Belize,BZ,1985,NY.GDP.MKTP.CD,287300000.0,US$
Belize,BZ,1986,NY.GDP.MKTP.CD,311500000.0,US$
Belize,BZ,1987,NY.GDP.MKTP.CD,371100000.0,US$
Belize,BZ,1988,NY.GDP.MKTP.CD,421450000.0,US$
Belize,BZ,1989,NY.GDP.MKTP.CD,491100000.0,US$
Belize,BZ,1990,NY.GDP.MKTP.CD,547150000.0,US$
Belize,BZ,1991,NY.GDP.MKTP.CD,597100000.0,US$
Belize,BZ,1992,NY.GDP.MKTP.CD,696250000.0,US$
Belize,BZ,1993,NY.GDP.MKTP.CD,752850000.0,US$
Belize,BZ,1994,NY.GDP.MKTP.CD,772300000.0,US$
Belize,BZ,1995,NY.GDP.MKTP.CD,819050000.0,US$
Belize,BZ,1996,NY.GDP.MKTP.CD,850850000.0,US$
Belize,BZ,1997,NY.GDP.MKTP.CD,873400000.0,US$
Belize,BZ,1998,NY.GDP.MKTP.CD,929500000.0,US$
Belize,BZ,1999,NY.GDP.MKTP.CD,1000250000.0,US$
Belize,BZ,2000,NY.GDP.MKTP.CD,1138900000.0,US$
Belize,BZ,2001,NY.GDP.MKTP.CD,1172800000.0,US$
Belize,BZ,2002,NY.GDP.MKTP.CD,1244650000.0,US$
Belize,BZ,2003,NY.GDP.MKTP.CD,1308900000.0,US$
Belize,BZ,2004,NY.GDP.MKTP.CD,1400850000.0,US$
Belize,BZ,2005,NY.GDP.MKTP.CD,1474950000.0,US$
Belize,BZ,2006,NY.GDP.MKTP.CD,1591150000.0,US$
Belize,BZ,2007,NY.GDP.MKTP.CD,1707100000.0,US$
Belize,BZ,2008,NY.GDP.MKTP.CD,1738900000.0,US$
Belize,BZ,2009,NY.GDP.MKTP.CD,1688500000.0,US$
Belize,BZ,2010,NY.GDP.MKTP.CD,1745700000.0,US$
Belize,BZ,2011,NY.GDP.MKTP.CD,1827050000.0,US$
Belize,BZ,2012,NY.GDP.MKTP.CD,1909400000.0,US$
Belize,BZ,2013,NY.GDP.MKTP.CD,2032750000.0,US$
Belize,BZ,2014,NY.GDP.MKTP.CD,2138250000.0,US$
Belize,BZ,2015,NY.GDP.MKTP.CD,2193050000.0,US$
Belize,BZ,2016,NY.GDP.MKTP.CD,2240200000.0,US$
Belize,BZ,2017,NY.GDP.MKTP.CD,2266300000.0,US$
Belize,BZ,2018,NY.GDP.MKTP.CD,2293250000.0,US$
Belize,BZ,2019,NY.GDP.MKTP.CD,2388300000.0,US$
Belize,BZ,2020,NY.GDP.MKTP.CD,2042850000.0,US$
Belize,BZ,2021,NY.GDP.MKTP.CD,2420550000.0,US$
Belize,BZ,2022,NY.GDP.MKTP.CD,2846700000.0,US$
Belize,BZ,2023,NY.GDP.MKTP.CD,3066850000.0,US$
Belize,BZ,2024,NY.GDP.MKTP.CD,3515783328.91079,US$
