country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SE.PRM.NENR,,%
Belize,BZ,1961,SE.PRM.NENR,,%
Belize,BZ,1962,SE.PRM.NENR,,%
Belize,BZ,1963,SE.PRM.NENR,,%
Belize,BZ,1964,SE.PRM.NENR,,%
Belize,BZ,1965,SE.PRM.NENR,,%
Belize,BZ,1966,SE.PRM.NENR,,%
Belize,BZ,1967,SE.PRM.NENR,,%
Belize,BZ,1968,SE.PRM.NENR,,%
Belize,BZ,1969,SE.PRM.NENR,,%
Belize,BZ,1970,SE.PRM.NENR,,%
Belize,BZ,1971,SE.PRM.NENR,,%
Belize,BZ,1972,SE.PRM.NENR,,%
Belize,BZ,1973,SE.PRM.NENR,,%
Belize,BZ,1974,SE.PRM.NENR,,%
Belize,BZ,1975,SE.PRM.NENR,,%
Belize,BZ,1976,SE.PRM.NENR,,%
Belize,BZ,1977,SE.PRM.NENR,,%
Belize,BZ,1978,SE.PRM.NENR,,%
Belize,BZ,1979,SE.PRM.NENR,,%
Belize,BZ,1980,SE.PRM.NENR,,%
Belize,BZ,1981,SE.PRM.NENR,,%
Belize,BZ,1982,SE.PRM.NENR,,%
Belize,BZ,1983,SE.PRM.NENR,,%
Belize,BZ,1984,SE.PRM.NENR,,%
Belize,BZ,1985,SE.PRM.NENR,,%
Belize,BZ,1986,SE.PRM.NENR,,%
Belize,BZ,1987,SE.PRM.NENR,,%
Belize,BZ,1988,SE.PRM.NENR,,%
Belize,BZ,1989,SE.PRM.NENR,,%
Belize,BZ,1990,SE.PRM.NENR,,%
Belize,BZ,1991,SE.PRM.NENR,,%
Belize,BZ,1992,SE.PRM.NENR,,%
Belize,BZ,1993,SE.PRM.NENR,,%
Belize,BZ,1994,SE.PRM.NENR,,%
Belize,BZ,1995,SE.PRM.NENR,,%
Belize,BZ,1996,SE.PRM.NENR,,%
Belize,BZ,1997,SE.PRM.NENR,,%
Belize,BZ,1998,SE.PRM.NENR,,%
Belize,BZ,1999,SE.PRM.NENR,97.74424,%
Belize,BZ,2000,SE.PRM.NENR,94.82919,%
Belize,BZ,2001,SE.PRM.NENR,91.96333,%
Belize,BZ,2002,SE.PRM.NENR,,%
Belize,BZ,2003,SE.PRM.NENR,92.11363,%
Belize,BZ,2004,SE.PRM.NENR,93.30201,%
Belize,BZ,2005,SE.PRM.NENR,92.96664,%
Belize,BZ,2006,SE.PRM.NENR,93.62886,%
Belize,BZ,2007,SE.PRM.NENR,93.3871,%
Belize,BZ,2008,SE.PRM.NENR,93.81454,%
Belize,BZ,2009,SE.PRM.NENR,94.92075,%
Belize,BZ,2010,SE.PRM.NENR,95.41596,%
Belize,BZ,2011,SE.PRM.NENR,95.14914,%
Belize,BZ,2012,SE.PRM.NENR,96.65387,%
Belize,BZ,2013,SE.PRM.NENR,95.743,%
Belize,BZ,2014,SE.PRM.NENR,96.35903,%
Belize,BZ,2015,SE.PRM.NENR,96.20372,%
Belize,BZ,2016,SE.PRM.NENR,96.11602,%
Belize,BZ,2017,SE.PRM.NENR,96.18248,%
Belize,BZ,2018,SE.PRM.NENR,95.94237,%
Belize,BZ,2019,SE.PRM.NENR,,%
Belize,BZ,2020,SE.PRM.NENR,,%
Belize,BZ,2021,SE.PRM.NENR,,%
Belize,BZ,2022,SE.PRM.NENR,,%
Belize,BZ,2023,SE.PRM.NENR,,%
Belize,BZ,2024,SE.PRM.NENR,,%
