country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SE.TER.ENRR,,%
Belize,BZ,1961,SE.TER.ENRR,,%
Belize,BZ,1962,SE.TER.ENRR,,%
Belize,BZ,1963,SE.TER.ENRR,,%
Belize,BZ,1964,SE.TER.ENRR,,%
Belize,BZ,1965,SE.TER.ENRR,,%
Belize,BZ,1966,SE.TER.ENRR,,%
Belize,BZ,1967,SE.TER.ENRR,,%
Belize,BZ,1968,SE.TER.ENRR,,%
Belize,BZ,1969,SE.TER.ENRR,,%
Belize,BZ,1970,SE.TER.ENRR,,%
Belize,BZ,1971,SE.TER.ENRR,1.08633005619049,%
Belize,BZ,1972,SE.TER.ENRR,0.883249998092651,%
Belize,BZ,1973,SE.TER.ENRR,,%
Belize,BZ,1974,SE.TER.ENRR,0.94990998506546,%
Belize,BZ,1975,SE.TER.ENRR,1.01723003387451,%
Belize,BZ,1976,SE.TER.ENRR,,%
Belize,BZ,1977,SE.TER.ENRR,,%
Belize,BZ,1978,SE.TER.ENRR,,%
Belize,BZ,1979,SE.TER.ENRR,,%
Belize,BZ,1980,SE.TER.ENRR,,%
Belize,BZ,1981,SE.TER.ENRR,,%
Belize,BZ,1982,SE.TER.ENRR,,%
Belize,BZ,1983,SE.TER.ENRR,,%
Belize,BZ,1984,SE.TER.ENRR,,%
Belize,BZ,1985,SE.TER.ENRR,,%
Belize,BZ,1986,SE.TER.ENRR,,%
Belize,BZ,1987,SE.TER.ENRR,,%
Belize,BZ,1988,SE.TER.ENRR,,%
Belize,BZ,1989,SE.TER.ENRR,,%
Belize,BZ,1990,SE.TER.ENRR,,%
Belize,BZ,1991,SE.TER.ENRR,,%
Belize,BZ,1992,SE.TER.ENRR,,%
Belize,BZ,1993,SE.TER.ENRR,,%
Belize,BZ,1994,SE.TER.ENRR,,%
Belize,BZ,1995,SE.TER.ENRR,,%
Belize,BZ,1996,SE.TER.ENRR,,%
Belize,BZ,1997,SE.TER.ENRR,,%
Belize,BZ,1998,SE.TER.ENRR,,%
Belize,BZ,1999,SE.TER.ENRR,,%
Belize,BZ,2000,SE.TER.ENRR,,%
Belize,BZ,2001,SE.TER.ENRR,15.0931301116943,%
Belize,BZ,2002,SE.TER.ENRR,16.9803295135498,%
Belize,BZ,2003,SE.TER.ENRR,16.1856803894043,%
Belize,BZ,2004,SE.TER.ENRR,15.5943098068237,%
Belize,BZ,2005,SE.TER.ENRR,16.0521106719971,%
Belize,BZ,2006,SE.TER.ENRR,16.8771591186523,%
Belize,BZ,2007,SE.TER.ENRR,17.8864498138428,%
Belize,BZ,2008,SE.TER.ENRR,18.7439098358154,%
Belize,BZ,2009,SE.TER.ENRR,21.9749698638916,%
Belize,BZ,2010,SE.TER.ENRR,21.4436492919922,%
Belize,BZ,2011,SE.TER.ENRR,21.4217891693115,%
Belize,BZ,2012,SE.TER.ENRR,23.8754291534424,%
Belize,BZ,2013,SE.TER.ENRR,23.8531093597412,%
Belize,BZ,2014,SE.TER.ENRR,23.8641395568848,%
Belize,BZ,2015,SE.TER.ENRR,23.273889541626,%
Belize,BZ,2016,SE.TER.ENRR,24.3196296691895,%
Belize,BZ,2017,SE.TER.ENRR,24.7719898223877,%
Belize,BZ,2018,SE.TER.ENRR,24.6455898284912,%
Belize,BZ,2019,SE.TER.ENRR,25.0688591003418,%
Belize,BZ,2020,SE.TER.ENRR,25.7016506195068,%
Belize,BZ,2021,SE.TER.ENRR,23.5184001922607,%
Belize,BZ,2022,SE.TER.ENRR,23.7802906036377,%
Belize,BZ,2023,SE.TER.ENRR,22.705150604248,%
Belize,BZ,2024,SE.TER.ENRR,,%
