country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SP.URB.TOTL.IN.ZS,54.028,%
Belize,BZ,1961,SP.URB.TOTL.IN.ZS,53.72,%
Belize,BZ,1962,SP.URB.TOTL.IN.ZS,53.41,%
Belize,BZ,1963,SP.URB.TOTL.IN.ZS,53.101,%
Belize,BZ,1964,SP.URB.TOTL.IN.ZS,52.79,%
Belize,BZ,1965,SP.URB.TOTL.IN.ZS,52.481,%
Belize,BZ,1966,SP.URB.TOTL.IN.ZS,52.17,%
Belize,BZ,1967,SP.URB.TOTL.IN.ZS,51.86,%
Belize,BZ,1968,SP.URB.TOTL.IN.ZS,51.549,%
Belize,BZ,1969,SP.URB.TOTL.IN.ZS,51.238,%
Belize,BZ,1970,SP.URB.TOTL.IN.ZS,50.963,%
Belize,BZ,1971,SP.URB.TOTL.IN.ZS,50.805,%
Belize,BZ,1972,SP.URB.TOTL.IN.ZS,50.646,%
Belize,BZ,1973,SP.URB.TOTL.IN.ZS,50.488,%
Belize,BZ,1974,SP.URB.TOTL.IN.ZS,50.329,%
Belize,BZ,1975,SP.URB.TOTL.IN.ZS,50.171,%
Belize,BZ,1976,SP.URB.TOTL.IN.ZS,50.012,%
Belize,BZ,1977,SP.URB.TOTL.IN.ZS,49.854,%
Belize,BZ,1978,SP.URB.TOTL.IN.ZS,49.695,%
Belize,BZ,1979,SP.URB.TOTL.IN.ZS,49.537,%
Belize,BZ,1980,SP.URB.TOTL.IN.ZS,49.374,%
Belize,BZ,1981,SP.URB.TOTL.IN.ZS,49.183,%
Belize,BZ,1982,SP.URB.TOTL.IN.ZS,48.992,%
Belize,BZ,1983,SP.URB.TOTL.IN.ZS,48.801,%
Belize,BZ,1984,SP.URB.TOTL.IN.ZS,48.61,%
Belize,BZ,1985,SP.URB.TOTL.IN.ZS,48.419,%
Belize,BZ,1986,SP.URB.TOTL.IN.ZS,48.228,%
Belize,BZ,1987,SP.URB.TOTL.IN.ZS,48.037,%
Belize,BZ,1988,SP.URB.TOTL.IN.ZS,47.846,%
Belize,BZ,1989,SP.URB.TOTL.IN.ZS,47.655,%
Belize,BZ,1990,SP.URB.TOTL.IN.ZS,47.465,%
Belize,BZ,1991,SP.URB.TOTL.IN.ZS,47.271,%
Belize,BZ,1992,SP.URB.TOTL.IN.ZS,47.059,%
Belize,BZ,1993,SP.URB.TOTL.IN.ZS,46.848,%
Belize,BZ,1994,SP.URB.TOTL.IN.ZS,46.637,%
Belize,BZ,1995,SP.URB.TOTL.IN.ZS,46.425,%
Belize,BZ,1996,SP.URB.TOTL.IN.ZS,46.214,%
Belize,BZ,1997,SP.URB.TOTL.IN.ZS,46.003,%
Belize,BZ,1998,SP.URB.TOTL.IN.ZS,45.793,%
Belize,BZ,1999,SP.URB.TOTL.IN.ZS,45.582,%
Belize,BZ,2000,SP.URB.TOTL.IN.ZS,45.398,%
Belize,BZ,2001,SP.URB.TOTL.IN.ZS,45.381,%
Belize,BZ,2002,SP.URB.TOTL.IN.ZS,45.364,%
Belize,BZ,2003,SP.URB.TOTL.IN.ZS,45.347,%
Belize,BZ,2004,SP.URB.TOTL.IN.ZS,45.33,%
Belize,BZ,2005,SP.URB.TOTL.IN.ZS,45.313,%
Belize,BZ,2006,SP.URB.TOTL.IN.ZS,45.296,%
Belize,BZ,2007,SP.URB.TOTL.IN.ZS,45.279,%
Belize,BZ,2008,SP.URB.TOTL.IN.ZS,45.262,%
Belize,BZ,2009,SP.URB.TOTL.IN.ZS,45.245,%
Belize,BZ,2010,SP.URB.TOTL.IN.ZS,45.228,%
Belize,BZ,2011,SP.URB.TOTL.IN.ZS,45.228,%
Belize,BZ,2012,SP.URB.TOTL.IN.ZS,45.246,%
Belize,BZ,2013,SP.URB.TOTL.IN.ZS,45.282,%
Belize,BZ,2014,SP.URB.TOTL.IN.ZS,45.335,%
Belize,BZ,2015,SP.URB.TOTL.IN.ZS,45.406,%
Belize,BZ,2016,SP.URB.TOTL.IN.ZS,45.495,%
Belize,BZ,2017,SP.URB.TOTL.IN.ZS,45.601,%
Belize,BZ,2018,SP.URB.TOTL.IN.ZS,45.724,%
Belize,BZ,2019,SP.URB.TOTL.IN.ZS,45.866,%
Belize,BZ,2020,SP.URB.TOTL.IN.ZS,46.025,%
Belize,BZ,2021,SP.URB.TOTL.IN.ZS,46.201,%
Belize,BZ,2022,SP.URB.TOTL.IN.ZS,46.396,%
Belize,BZ,2023,SP.URB.TOTL.IN.ZS,46.608,%
Belize,BZ,2024,SP.URB.TOTL.IN.ZS,46.838,%
