country,iso2c,year,indicator,value,unit
Belize,BZ,1960,ST.INT.ARVL,,arrivals
Belize,BZ,1961,ST.INT.ARVL,,arrivals
Belize,BZ,1962,ST.INT.ARVL,,arrivals
Belize,BZ,1963,ST.INT.ARVL,,arrivals
Belize,BZ,1964,ST.INT.ARVL,,arrivals
Belize,BZ,1965,ST.INT.ARVL,,arrivals
Belize,BZ,1966,ST.INT.ARVL,,arrivals
Belize,BZ,1967,ST.INT.ARVL,,arrivals
Belize,BZ,1968,ST.INT.ARVL,,arrivals
Belize,BZ,1969,ST.INT.ARVL,,arrivals
Belize,BZ,1970,ST.INT.ARVL,,arrivals
Belize,BZ,1971,ST.INT.ARVL,,arrivals
Belize,BZ,1972,ST.INT.ARVL,,arrivals
Belize,BZ,1973,ST.INT.ARVL,,arrivals
Belize,BZ,1974,ST.INT.ARVL,,arrivals
Belize,BZ,1975,ST.INT.ARVL,,arrivals
Belize,BZ,1976,ST.INT.ARVL,,arrivals
Belize,BZ,1977,ST.INT.ARVL,,arrivals
Belize,BZ,1978,ST.INT.ARVL,,arrivals
Belize,BZ,1979,ST.INT.ARVL,,arrivals
Belize,BZ,1980,ST.INT.ARVL,,arrivals
Belize,BZ,1981,ST.INT.ARVL,,arrivals
Belize,BZ,1982,ST.INT.ARVL,,arrivals
Belize,BZ,1983,ST.INT.ARVL,,arrivals
Belize,BZ,1984,ST.INT.ARVL,,arrivals
Belize,BZ,1985,ST.INT.ARVL,,arrivals
Belize,BZ,1986,ST.INT.ARVL,,arrivals
Belize,BZ,1987,ST.INT.ARVL,,arrivals
Belize,BZ,1988,ST.INT.ARVL,,arrivals
Belize,BZ,1989,ST.INT.ARVL,,arrivals
Belize,BZ,1990,ST.INT.ARVL,,arrivals
Belize,BZ,1991,ST.INT.ARVL,,arrivals
Belize,BZ,1992,ST.INT.ARVL,,arrivals
Belize,BZ,1993,ST.INT.ARVL,,arrivals
Belize,BZ,1994,ST.INT.ARVL,,arrivals
Belize,BZ,1995,ST.INT.ARVL,342000.0,arrivals
Belize,BZ,1996,ST.INT.ARVL,349000.0,arrivals
Belize,BZ,1997,ST.INT.ARVL,305000.0,arrivals
Belize,BZ,1998,ST.INT.ARVL,300000.0,arrivals
Belize,BZ,1999,ST.INT.ARVL,340000.0,arrivals
Belize,BZ,2000,ST.INT.ARVL,374000.0,arrivals
Belize,BZ,2001,ST.INT.ARVL,385000.0,arrivals
Belize,BZ,2002,ST.INT.ARVL,694000.0,arrivals
Belize,BZ,2003,ST.INT.ARVL,999000.0,arrivals
Belize,BZ,2004,ST.INT.ARVL,1329000.0,arrivals
Belize,BZ,2005,ST.INT.ARVL,1037000.0,arrivals
Belize,BZ,2006,ST.INT.ARVL,903000.0,arrivals
Belize,BZ,2007,ST.INT.ARVL,880000.0,arrivals
Belize,BZ,2008,ST.INT.ARVL,846000.0,arrivals
Belize,BZ,2009,ST.INT.ARVL,941000.0,arrivals
Belize,BZ,2010,ST.INT.ARVL,1054000.0,arrivals
Belize,BZ,2011,ST.INT.ARVL,1106000.0,arrivals
Belize,BZ,2012,ST.INT.ARVL,1028000.0,arrivals
Belize,BZ,2013,ST.INT.ARVL,1022000.0,arrivals
Belize,BZ,2014,ST.INT.ARVL,1289000.0,arrivals
Belize,BZ,2015,ST.INT.ARVL,1299000.0,arrivals
Belize,BZ,2016,ST.INT.ARVL,1391000.0,arrivals
Belize,BZ,2017,ST.INT.ARVL,1441000.0,arrivals
Belize,BZ,2018,ST.INT.ARVL,1697000.0,arrivals
Belize,BZ,2019,ST.INT.ARVL,1674000.0,arrivals
Belize,BZ,2020,ST.INT.ARVL,487000.0,arrivals
Belize,BZ,2021,ST.INT.ARVL,,arrivals
Belize,BZ,2022,ST.INT.ARVL,,arrivals
Belize,BZ,2023,ST.INT.ARVL,,arrivals
Belize,BZ,2024,ST.INT.ARVL,,arrivals
