country,iso2c,year,indicator,value,unit
Belize,BZ,1960,ST.INT.XPND.CD,,US$
Belize,BZ,1961,ST.INT.XPND.CD,,US$
Belize,BZ,1962,ST.INT.XPND.CD,,US$
Belize,BZ,1963,ST.INT.XPND.CD,,US$
Belize,BZ,1964,ST.INT.XPND.CD,,US$
Belize,BZ,1965,ST.INT.XPND.CD,,US$
Belize,BZ,1966,ST.INT.XPND.CD,,US$
Belize,BZ,1967,ST.INT.XPND.CD,,US$
Belize,BZ,1968,ST.INT.XPND.CD,,US$
Belize,BZ,1969,ST.INT.XPND.CD,,US$
Belize,BZ,1970,ST.INT.XPND.CD,,US$
Belize,BZ,1971,ST.INT.XPND.CD,,US$
Belize,BZ,1972,ST.INT.XPND.CD,,US$
Belize,BZ,1973,ST.INT.XPND.CD,,US$
Belize,BZ,1974,ST.INT.XPND.CD,,US$
Belize,BZ,1975,ST.INT.XPND.CD,,US$
Belize,BZ,1976,ST.INT.XPND.CD,,US$
Belize,BZ,1977,ST.INT.XPND.CD,,US$
Belize,BZ,1978,ST.INT.XPND.CD,,US$
Belize,BZ,1979,ST.INT.XPND.CD,,US$
Belize,BZ,1980,ST.INT.XPND.CD,,US$
Belize,BZ,1981,ST.INT.XPND.CD,,US$
Belize,BZ,1982,ST.INT.XPND.CD,,US$
Belize,BZ,1983,ST.INT.XPND.CD,,US$
Belize,BZ,1984,ST.INT.XPND.CD,,US$
Belize,BZ,1985,ST.INT.XPND.CD,,US$
Belize,BZ,1986,ST.INT.XPND.CD,,US$
Belize,BZ,1987,ST.INT.XPND.CD,,US$
Belize,BZ,1988,ST.INT.XPND.CD,,US$
Belize,BZ,1989,ST.INT.XPND.CD,,US$
Belize,BZ,1990,ST.INT.XPND.CD,,US$
Belize,BZ,1991,ST.INT.XPND.CD,,US$
Belize,BZ,1992,ST.INT.XPND.CD,,US$
Belize,BZ,1993,ST.INT.XPND.CD,,US$
Belize,BZ,1994,ST.INT.XPND.CD,,US$
Belize,BZ,1995,ST.INT.XPND.CD,33000000.0,US$
Belize,BZ,1996,ST.INT.XPND.CD,38000000.0,US$
Belize,BZ,1997,ST.INT.XPND.CD,30000000.0,US$
Belize,BZ,1998,ST.INT.XPND.CD,33000000.0,US$
Belize,BZ,1999,ST.INT.XPND.CD,39000000.0,US$
Belize,BZ,2000,ST.INT.XPND.CD,44000000.0,US$
Belize,BZ,2001,ST.INT.XPND.CD,45000000.0,US$
Belize,BZ,2002,ST.INT.XPND.CD,48000000.0,US$
Belize,BZ,2003,ST.INT.XPND.CD,50000000.0,US$
Belize,BZ,2004,ST.INT.XPND.CD,47000000.0,US$
Belize,BZ,2005,ST.INT.XPND.CD,45000000.0,US$
Belize,BZ,2006,ST.INT.XPND.CD,43000000.0,US$
Belize,BZ,2007,ST.INT.XPND.CD,46000000.0,US$
Belize,BZ,2008,ST.INT.XPND.CD,44000000.0,US$
Belize,BZ,2009,ST.INT.XPND.CD,43000000.0,US$
Belize,BZ,2010,ST.INT.XPND.CD,39000000.0,US$
Belize,BZ,2011,ST.INT.XPND.CD,37000000.0,US$
Belize,BZ,2012,ST.INT.XPND.CD,39000000.0,US$
Belize,BZ,2013,ST.INT.XPND.CD,42000000.0,US$
Belize,BZ,2014,ST.INT.XPND.CD,51000000.0,US$
Belize,BZ,2015,ST.INT.XPND.CD,50000000.0,US$
Belize,BZ,2016,ST.INT.XPND.CD,55000000.0,US$
Belize,BZ,2017,ST.INT.XPND.CD,53000000.0,US$
Belize,BZ,2018,ST.INT.XPND.CD,50000000.0,US$
Belize,BZ,2019,ST.INT.XPND.CD,45400001.5258789,US$
Belize,BZ,2020,ST.INT.XPND.CD,22040000.9155273,US$
Belize,BZ,2021,ST.INT.XPND.CD,,US$
Belize,BZ,2022,ST.INT.XPND.CD,,US$
Belize,BZ,2023,ST.INT.XPND.CD,,US$
Belize,BZ,2024,ST.INT.XPND.CD,,US$
